anno,date,weekday,evento,tipo_evento
2019,2019-09-08,Sunday,13° D.T.O.,
2021,2021-01-03,Sunday,2° domenica dopo natale,
2021,2021-07-25,Sunday,17° D.T.O.,
2021,2021-09-12,Sunday,24° D.T.O.,
2024,2024-09-08,Sunday,23° D.T.O.,
2026,2026-01-25,Sunday,3° D.T.O.,
2027,2027-01-03,Sunday,2° domenica dopo natale,
2027,2027-07-25,Sunday,17° D.T.O.,
2027,2027-09-12,Sunday,24° D.T.O.,
2030,2030-09-08,Sunday,23° D.T.O.,
2032,2032-01-25,Sunday,3° D.T.O.,
2032,2032-07-25,Sunday,17° D.T.O.,
2032,2032-09-12,Sunday,24° D.T.O.,
2037,2037-01-25,Sunday,3° D.T.O.,
2038,2038-01-03,Sunday,2° domenica dopo natale,
2038,2038-07-25,Sunday,17° D.T.O.,
2038,2038-09-12,Sunday,24° D.T.O.,
2041,2041-09-08,Sunday,23° D.T.O.,
2043,2043-01-25,Sunday,3° D.T.O.,
2044,2044-01-03,Sunday,2° domenica dopo natale,
2047,2047-09-08,Sunday,23° D.T.O.,
2049,2049-01-03,Sunday,2° domenica dopo natale,
2049,2049-07-25,Sunday,17° D.T.O.,
2049,2049-09-12,Sunday,24° D.T.O.,