id_canti,titolo,max,mean
64,Astro del ciel,232,42.76
1776,Osanna,199,18.43
1478,Servire è regnare,168,14.08
1865,Osanna al Figlio di David,160,38.1
474,Venite fedeli,160,37.48
2151,Alzerò i miei occhi ,137,30.6
2152,Gustate e vedete,132,8.47
465,Tu scendi dalle stelle,122,27.31
145,Cristo è risorto veramente,121,22.85
1412,Invochiamo la Tua Presenza,120,9.35
185,Eccomi,102,8.47
434,Sono qui a lodarti (luce del mondo),101,12.18
136,Come Maria,100,10.78
355,Pane del cielo,99,11.27
423,Servo per amore,95,19.53
378,Re di gloria,93,8.56
337,Ogni mia parola,93,7.81
376,Questo è il mio comandamento,90,13.57
383,Resurrezione,89,15.48
1781,Gesù e la samaritana,89,7.36
1396,Rimanete in me,86,8.1
82,Benedici il Signore,85,9.66
2556,Osanna all'Altissimo,84,14.13
150,Dall’aurora al tramonto,83,11.41
44,Alzati e risplendi,82,7.75
1561,Adoro Te,82,9.01
361,Popoli tutti acclamate,81,13.9
2083,Anima Christi,79,8.89
1613,Come un prodigio,79,6.2
450,Te lodiamo Trinità,77,16.33
2478,Cristo Re,77,16.0
206,Giovane donna,76,8.7
126,Chi ci separerà,75,6.83
201,Frutto della nostra terra,74,23.0
1970,Grazie Padre Buono (Rns),71,15.71
1745,Beati voi,69,14.23
1884,Benedetto sei Tu Signore ,69,6.33
486,Vieni e seguimi,69,7.65
1715,Trasformi in Gesù,68,7.41
500,Pane di vita nuova,66,8.76
282,Lo Spirito del Signore,65,14.96
234,Il Signore è il mio pastore,65,9.37
1891,Alleluia Cristo è risorto veramente,64,10.4
414,Se m’accogli,63,11.76
137,Come Tu mi vuoi,63,11.18
300,"Maranathà, Vieni Signor",62,15.15
1898,Chiamati per nome,60,15.68
11,Adeste Fideles,59,17.23
2004,Canzone di San Giuseppe,59,12.86
1480,Il canto del mare,56,7.24
221,I cieli narrano,55,8.11
163,Dov’è carità e amore,53,9.1
453,Ti esalto Dio mio Re,52,7.25
59,Apri le tue braccia,52,9.65
241,In notte placida,52,13.63
152,Davanti a questo amore,51,10.31
1785,Pane di vita,50,7.83
2092,Risuscitò,50,15.75
1416,Ecco quel che abbiamo,49,13.71
467,Lodi all'altissimo (Tu sei Santo),49,5.9
117,Cantiamo Te,48,7.04
1551,Cantiamo con gioia,48,10.58
382,Resta qui con noi,47,6.04
428,Signore come è bello (La tenda),47,13.44
2311,La vera vite,47,7.35
231,Il Pane del Cammino,47,6.82
478,Verbum Panis,46,8.1
1651,Talità Kum,46,10.3
134,Come fuoco vivo,45,8.44
52,Andate per le strade,44,6.86
1714,"Ti saluto, o Croce santa",44,9.62
2003,Giovanni,44,13.0
189,Esci dalla Tua terra,42,10.33
236,Il Signore è la mia salvezza,41,9.47
280,Le Tue mani,39,10.11
2009,Camminiamo incontro al Signore,39,16.8
217,Grandi cose,38,7.59
1780,Vocazione,38,6.52
1564,Nostra gloria è la croce,38,14.43
2074,Misericordes sicut Pater! (Inno dell'Anno Santo della Misericordia),36,14.0
2002,Maranathà,36,14.0
1738,Misericordia sei,35,6.81
1885,Sfolgora il sole di Pasqua,35,10.0
2026,Tu un giorno,35,35.0
1929,A te vorrei dire,34,6.78
2048,Beati voi,34,18.17
1352,Abbracciami,33,10.76
8,Acqua siamo noi,33,5.74
2100,Salve dolce Vergine,33,5.94
10,Adesso è la pienezza,32,8.1
1752,Mi basta la tua grazia,32,4.91
48,Amatevi fratelli,32,7.65
503,Lode al Nome Tuo,32,7.5
1684,Celebriamo il Signore,32,32.0
370,Quale gioia,31,5.81
443,Su ali d’aquila,31,6.81
444,Sulla Tua parola (Pietro vai),31,9.33
1667,Cosa Offrirti,30,6.73
321,Noi canteremo gloria a Te,30,6.39
1675,Symbolum ‘77,30,7.48
5,Accogli i nostri doni,30,9.37
168,E' bello lodarti,30,7.25
1917,"Vieni, santo spirito di Dio",30,5.94
160,Dio s’è fatto come noi,29,8.9
1575,Dio è amore,29,6.03
451,"Te, al centro del mio cuore",28,8.25
2723,Dio ha tanto amato il mondo,28,7.83
411,Scusa Signore,28,8.47
224,Il canto dell’amore,28,8.13
1758,Samuel,28,9.75
2060,Dove la carità è vera,27,6.29
2155,Isaia 62,27,6.63
2098,"Spirito Santo, dolce presenza",27,6.5
419,Segni del tuo amore,26,9.91
1725,Innalziamo lo sguardo,26,9.83
83,Benedici o Signore,26,9.05
325,Noi veniamo a Te,26,5.83
1887,Esulta il cielo,26,7.13
200,Fratello Sole e Sorella Luna,25,5.82
1427,Camminiamo sulla strada,25,16.33
4,Acclamate al Signore,24,7.26
1700,Regina caeli,24,10.1
81,Benedetto Tu Signore,24,5.9
2024,Venite fedeli (v2),23,11.92
2653,O cieli piovete dall'alto,23,17.25
1986,Cristo speranza delle genti,23,4.91
1958,Resto con te,23,7.41
2426,Ave Maria di Lourdes,23,13.0
1997,"Dio con noi, Emmanuel",23,7.0
2277,Olio di Letizia,23,7.58
1748,Benedetto Signore (Cerco solo Te),22,5.67
1817,Venite applaudiamo al Signore  (Salmo 94),22,5.5
293,Lui verrà e ti salverà,22,6.16
1664,Vero cibo è il tuo corpo,22,5.56
1939,La mia Pasqua è il Signore,22,6.79
2171,Maria porta dell'avvento,22,10.75
1635,Accogli nella tua bontà,22,5.83
2260,Fammi conoscere,22,8.0
1639,Mi perdo nel tuo amore,21,5.17
1822,Il seme del tuo campo,21,4.72
1856,Canoni - Ubi Caritas,21,8.27
1757,Chi ha sete,21,7.17
480,Vi amo così,21,7.75
1598,"Vieni Gesù, Maranathà",21,9.0
1709,Signore da chi andremo,21,9.0
205,Gioisci Figlia di Sion,20,6.67
2513,Dove troveremo tutto il pane,20,5.78
1707,Tu sei Re,20,5.77
1864,Ecco l'uomo (Uomo della Croce - forma breve),20,8.82
2342,Osanna,20,15.0
492,Vivere la vita,20,5.02
235,Il Signore è la Luce,20,6.12
1979,Alla tua mensa,20,4.96
1862,Non Temere,19,5.38
316,Nel Tuo silenzio,19,4.93
88,Camminerò,19,5.27
292,Luce di verità,19,5.88
1554,Emmanuel tu sei,19,7.52
147,Custodiscimi,19,4.85
2229,Chiamati per nome v2,19,5.78
1665,Il nostro cuore offriamo a te,18,6.33
462,Ti seguirò,18,6.94
1961,Facciamo festa,18,5.93
2415,Quando lo spirito ,18,18.0
394,Santa Maria del cammino,18,5.2
1681,Gesù mio buon pastore,18,6.25
2242,In questo giorno di luce,18,7.17
297,Magnificat ’86,18,5.88
27,"Alleluia, cantate al Signore",18,4.86
466,Tu sei,18,4.71
302,"Maria, tu che hai atteso",18,5.22
1680,Tutta la terra attende,17,8.27
2027,Mano potente,17,6.3
260,Jesus Christ you are my life,17,5.87
179,E sono solo un uomo,17,5.7
1567,Apri i miei occhi Signore,17,5.56
1,Abbà Misericordia,17,6.17
303,"Maria, vogliamo amarti",17,5.03
2165,Prepariamo la via,17,8.33
76,Beatitudine (La preghiera di Gesù è la nostra),16,5.53
57,"Antica, eterna danza",16,4.93
2094,"Canoni - Adoramus Te, Domine",16,6.57
2169,"Cantate al Signore, alleluia",16,5.97
2193,Beatitudini,16,11.5
1544,Tu sei bambino,16,7.83
245,Insieme a Te,16,5.34
2208,Vieni Santo Spirito,16,13.75
464,Tu sarai profeta,15,6.06
339,Ora è tempo di gioia,15,6.8
1629,Ci inviti alla tua festa,15,5.0
55,Annunceremo che Tu,15,5.14
1839,Se il chicco di frumento,15,7.6
377,Rallegriamoci,15,5.25
2222,Tutto il mondo deve sapere,15,6.38
2000,O Croce Fedele ,15,6.29
1966,Nozze a Cana,15,5.33
1558,Le tue meraviglie,14,5.27
1792,Resta con noi,14,4.38
1976,Come brezza ,14,5.4
278,"Laudato sii, o mi Signore",14,5.15
1583,E' tempo di grazia,14,5.92
1943,Vieni o Spirito Creatore,14,9.5
1596,Il Figliol Prodigo (Abbracciami Gesù),14,5.42
2452,Al Santo Glorioso (Inno in onore di San Francesco di Paola),14,14.0
1659,Dammi i Tuoi Occhi,14,5.63
315,Nei cieli un grido risuonò,14,6.29
2172,Le Beatitudini,14,12.5
220,Guarda questa offerta,14,5.67
1863,Tu sei misericordia,14,4.82
2449,Al Signore canterò,14,4.24
1900,Davanti a Te,13,4.74
1383,Nel nome del Padre,13,8.0
1379,Tutto è Possibile (Nuovi Orizzonti),13,5.21
73,Beati quelli che ascoltano,13,4.82
368,Prendi la mia vita,13,4.57
2,"Abbà, Padre (ascoltami)",13,4.5
1607,Cantate al Signore,13,5.94
6,Accogli Signore i nostri doni,13,5.6
2073,L'amore del Padre,13,4.77
1838,Ora lasciateci cantare,13,7.0
347,"Pace sia, pace a voi",13,5.24
258,Io vedo la Tua luce,13,5.9
2240,Con l'offerta di Gesù,12,5.0
1793,Canzone di Maria chiara (Se non ritornerete),12,6.5
135,Come l’aurora verrai,12,5.27
188,Emmanuel,12,4.42
331,O Maestro (San Francesco),12,4.38
432,Silenzioso Dio,12,4.31
2278,Manda il Tuo Spirito Signore,12,11.5
1682,Benedetto sei Tu,12,4.93
445,Svegliati o Sion,12,4.81
1726,Prepariamo la via al Signore,12,5.75
1924,Nella Chiesa del Signore,12,6.33
2399,Nelle tue mani,12,5.05
447,Symbolum ‘80 (Ma la tua Parola),12,4.25
1619,Come ti ama Dio,12,5.08
1904,Questa famiglia ti benedice,12,6.33
371,Quale gioia (è star con Te),12,4.43
1672,"Il tuo Corpo, il tuo Sangue",12,4.57
242,In principio,11,6.67
2271,Luce Gentile,11,6.8
493,Vocazione (v2),11,6.0
1888,"Inno della Divina Misericordia (Gesù, confido in Te)",11,6.43
2147,Danza la vita,11,4.59
42,Alto e Glorioso Dio,11,4.16
1800,Ti ringrazio mio Signore,11,4.44
483,Vieni al Signor,11,4.27
494,Voglio cantare al Signor,11,4.5
1995,Tu sei Santo Tu sei Re,11,4.71
2015,Chiesa di Dio,11,4.61
1565,Musica di festa,11,6.25
298,Mani,10,4.36
2038,Salve o Dolce Vergine,10,5.67
1668,Fiumi di misericordia,10,3.47
1690,Gloria al re dei re,10,5.25
1988,É l'ora che pia,10,5.0
1811,Vieni dal Libano,10,3.65
1545,Acclamate al Signore,10,4.51
2301,E lo credemmo abbandonato da DIo,10,6.5
2281,E' Risorto,10,5.75
2287,O Dio tu sei il mio Dio,10,9.0
1895,Questo è il giorno fatto dal Signore ,10,6.5
2050,"Alleluja, lodate il Signore",10,4.03
2013,Madonna nera,10,3.84
1796,Siamo arrivati,10,5.5
2447,Tempo di ricominciare,10,4.8
436,Sotto il Tuo manto,10,5.33
353,Padre perdona,10,6.0
322,Noi con Te,10,4.59
1626,O Amore Ineffabile,10,5.6
226,Il disegno,9,5.04
130,Col Tuo amor,9,4.6
457,Ti offriamo,9,4.3
1859,Albero di vita,9,6.25
1704,Il Signore è vicino,9,4.7
2228,Magnifica il Signore anima mia,9,5.0
2580,Beato il cuore che perdona (inno GMG 2016),9,4.0
1802,Mai più ,9,9.0
144,Credo in Te,9,4.19
2591,La Casa,9,6.0
1587,La mia preghiera elevo a Te,9,4.33
2174,Quelli che amano te,9,4.5
1542,Ecco quel che abbiamo (v2),9,5.01
1978,In Eterno Canterò,9,3.97
47,Amare questa vita,9,4.2
2007,Viene il Signore,9,5.0
2332,Osanna al Figlio di David (v2),9,5.0
1944,Luce che sorgi nella notte,9,4.92
116,Canterò per Te,9,4.45
2062,Canoni - Il Signore è la mia forza,9,5.0
2230,Vieni con me,9,7.0
1919,Festa con Te,8,3.82
1679,Dal tronco di Jesse,8,4.63
1890,Anima di Cristo,8,3.75
14,Alla Tua presenza,8,4.39
2031,Sei il mio rifugio,8,4.25
2613,Luce in Noi ,8,4.85
1708,Betlemme di Efrata,8,6.0
1713,"Ti ringrazio, o mio Signore",8,3.96
2394,Fa' che io creda,8,4.64
1893,Canterò le meraviglie del Signor,8,4.33
1669,Io vengo a Te,8,3.82
1719,Vi darò un cuore nuovo,8,4.71
2323,Risplendi Gerusalemme,8,5.22
1779,Cuore puro,8,6.33
1882,"Alleluia, è risorto il Signor",8,4.75
1908,Luce,8,4.22
253,Io non sono degno,8,5.17
279,Le mani alzate,8,4.91
9,Acqua sole e verità,8,6.0
58,Apostoli di gioia,8,5.75
2530,La vera gioia,8,4.89
2006,Innalzate nei cieli lo sguardo,8,4.63
2167,Vieni Signore Vieni (Maranatha),8,5.0
2456,Salga da questo altare,8,3.75
1782,Padre mio,8,5.4
2529,Sei Tu Signore il pane,8,4.54
2809,Osanna al Figlio di David,8,8.0
1562,Come il cervo va all'acqua viva,8,4.15
2286,Chiesa del Risorto,8,4.59
2745,Sei venuto dal cielo,8,6.0
2453,Grazie Gesù,8,8.0
78,Beato l’uomo,7,4.2
2144,E' il segno del tuo amore,7,4.25
1946,Aprite le porte a Cristo,7,4.05
1987,Canto dei tre giovani,7,4.27
1950,Venite a me,7,3.83
1816,Figlia di Sion,7,3.79
2005,Tu quando verrai,7,4.67
2364,Saldo è il mio cuore Dio,7,3.73
1662,Creati per te,7,4.08
1998,Celebra il Signore Terra tutta,7,3.7
1789,Quando busserò,7,5.78
233,Il Regno di Dio,7,4.8
146,Cristo risusciti,7,4.75
380,Resta Accanto a me,7,4.15
446,Symbolum ‘77 (v2),7,3.73
2134,Dolce sentire (Fratello sole e sorella luna),7,3.55
1955,Tu sarai profeta (2),7,5.67
2097,Canoni - Questa notte,7,5.88
1777,E' il Signore e dà la vita,7,4.33
2576,Uomo di galilea,7,5.0
506,Voi siete di Dio (v2),7,4.0
2113,Con gioia veniamo a Te,7,4.29
1610,Il Signore ha messo un seme,7,5.67
2528,Hai dato un cibo ,7,4.33
133,Come è grande,7,4.0
1600,Fratello Sole e Sorella Luna (semplificata),7,3.85
1721,Maestà,7,3.83
246,Insieme è più bello,7,4.0
2397,Misericordia sei,7,4.5
1815,Cantate inni a Dio,7,4.06
1657,Parla al mio cuore,7,4.04
1852,Perdonami mio Signore,7,7.0
1661,"Cantiamo al Signore, grande nell’amore",7,3.8
1585,Il 14 di Nisan,7,5.6
327,Nostalgia d’una sorgente,7,4.2
1649,Accogli Signore i nostri doni (v2),7,3.95
1736,Come un fiume d'acqua viva,7,4.44
2294,Popoli tutti (versione 2),7,4.12
1880,E la strada si apre,7,4.0
138,Come un fiume,6,3.86
393,San Damiano,6,3.75
2160,Il nostro cuore offriamo a te (completo),6,4.03
2112,Luce,6,4.38
198,Fragile pane,6,5.67
1712,"Ti salutiamo, o Vergine",6,4.38
285,Lodate Dio,6,3.71
257,Io vedo il Re,6,3.9
2356,Passa questo mondo,6,4.08
2487,Pane e vino ti offriamo,6,4.5
1578,Gioisci figlia di Sion,6,4.14
1614,Come incenso,6,3.67
1594,Vi lascio un grande esempio,6,5.0
225,Il canto della creazione,6,3.55
2712,Ecco il pane,6,4.0
2650,Pietre vive,6,6.0
2059,Questo è il tempo,6,4.83
1622,Saldo è il mio cuore,6,4.44
2218,I frutti che ci dai,6,3.71
2248,Ascolta oggi ,6,3.83
2259,Benedici il Signore anima mia,6,4.5
2570,Se avessi mai commesso,6,4.75
2416,Arderanno sempre i nostri cuori,6,4.25
249,"Io credo, risorgerò",6,4.33
415,Se qualcuno ha dei beni,6,3.8
159,Dio Regna,6,3.67
2052,Il mio posto,6,6.0
2269,La trasfigurazione,6,4.67
326,Non cercate tra i morti,6,4.25
1702,Questo è il mio corpo,6,4.0
2314,Magnificat - Mina,6,3.75
2225,Venite alla festa,6,6.0
1962,O fiore di grazia gentile,6,6.0
413,Se il Signore non costruisce la città,6,6.0
497,Voi siete di Dio,6,4.35
1756,Mi alma canta,6,3.83
1844,Ave Maria splendore del mattino,6,3.57
1934,Altissimo,6,4.0
2320,Magnificat,6,6.0
2788,Chi mi seguirà,6,4.75
1654,Come unico Pane,6,3.75
1927,Sei fuoco e vento,6,3.56
1624,"Maria, sei l'unico fiore",6,4.5
195,Fissa gli occhi,5,3.5
2306,Inno alla carita,5,3.8
1750,"Come è bello, come da gioia. Sal 132(133)",5,3.67
2575,Tu sei qui (Way maker),5,5.0
1685,Corpo di Gesù,5,3.5
1993,Maria (Quando l'amor),5,4.5
459,Ti ringraziamo,5,4.67
1710,Spezziamo il pane ,5,3.6
268,L’uomo nuovo,5,3.8
1932,Ci nutri alla Tua mensa,5,3.8
1543,Nato per noi,5,3.75
1455,Questa è la mia fede,5,3.54
1559,Come il cervo va all'acqua viva (semplificata),5,3.83
1879,Preconio Pasquale,5,4.0
1732,Vi annuncio la gioia,5,3.67
2642,Volgete gli occhi ,5,3.5
2431,Cantico della creazione,5,4.0
1774,"Laudato sii, Signore mio (Canto della Creazione)",5,4.0
2254,Grande è la Tua bontà ,5,3.67
318,Nella Tua tenda,5,4.0
2341,Questo pane spezzato,5,5.0
2204,Sollevate porte i vostri frontali,5,4.0
129,Cieli e terra nuova,5,4.0
2638,Dall'eternità,5,3.5
2735,Notte di Luce,5,5.0
2299,Narrano i cieli,5,5.0
2419,Vieni fratello (il Padre ci chiama),5,5.0
2599,Inno allo Spirito,5,5.0
46,Amar come Gesù amò (per avere la felicità),5,5.0
2219,Spalancate le porte a Cristo,5,4.0
2256,Oceani (dove i miei piedi possono fallire),5,4.0
2396,A te Signor leviamo i cuori,5,3.9
2369,Oh Maria quanto sei bella,5,3.75
2283,Io ti seguirò,5,3.75
2205,Vidi la nuova Gerusalemme,5,3.67
2676,Magnificat - Dio ha fatto in me cose grandi,5,3.67
2078,Madre fiducia nostra,5,3.5
2101,"Padre, Maestro ed Amico",5,4.0
2362,Donna Maria,5,5.0
2674,La Madre,5,5.0
2358,Ti offro Signor,5,4.0
3,Acclamate a Dio,5,3.25
1868,Dico Sì,5,3.75
1989,Andro' a vederla un di',5,3.27
227,Il figliol prodigo,5,5.0
1608,Guariscimi o mio Signor,5,4.0
1698,Vergin Santa,5,3.5
1768,Io ti offro,5,4.0
2757,Vieni popolo mio,5,3.67
125,Cerco la Tua voce,4,3.43
1642,Salve Regina [Latino],4,3.14
1766,Io con voi,4,4.0
1453,Nella Tua presenza,4,3.33
1674,Non sono più io che vivo,4,4.0
193,Fede è,4,4.0
2460,Come un fiume,4,3.25
2866,Su questo altare,4,4.0
1749,Che siano una sola cosa,4,3.25
1730,Rallegrati Gerusalemme,4,3.67
1975,Tu sei qui (Medjugorje),4,3.33
1590,Il dono più grande,4,3.4
1739,Emmanuel è Dio con noi,4,4.0
1592,E' bello stare insieme a te,4,3.33
1860,Gesù è vivo,4,3.5
2461,Benedici il Signore anima mia,4,3.2
2635,Sii esaltato ,4,3.5
1355,Io dico il mio sì - Marco Guadin,4,4.0
2268,Preferisco il paradiso,4,4.0
1874,Alla Madonna di Czestochowa,4,3.43
1778,Apri i cieli,4,3.4
2285,Dal profondo a Te grido,4,4.0
2063,Popolo mio,4,4.0
2434,Nome dolcissimo,4,3.2
2469,Il Tuo amore è grande,4,3.4
1999,Cose stupende ,4,4.0
1731,Emmanuele vieni tra noi,4,3.5
2022,Apri le tue braccia (v2),4,4.0
2671,Salga a te Signore,4,4.0
1981,Cielo nuovo,4,4.0
1878,Ti lodino i popoli Dio,4,3.5
1953,So che sei qui,4,3.33
2297,Non vivo più per me,4,4.0
2321,Resta con noi,4,4.0
2217,Benedirò il Signore in ogni tempo,4,3.67
2187,Acclamiamo a Dio,4,3.5
2366,Alzo gli occhi verso i monti,4,3.2
2262,Maria speranza nostra,4,4.0
2673,Sei per noi cibo di eternità,4,3.5
1974,Infinitamente Grazie,4,3.17
1602,Accetta o Padre,4,3.25
1740,Sei luce splendida,4,3.4
142,Con Te faremo cose grandi,4,3.25
1829,Misericordias Domini,4,4.0
1638,Ad una voce,4,3.33
1843,Il nostro cuore non si è perduto,4,4.0
2405,Le mie mani son piene (di benedizioni),4,4.0
2564,Getta le tue reti,4,3.33
1918,Io sarò con voi,4,4.0
2324,Roccia di fedeltà,4,4.0
2355,Gustate e vedete,4,4.0
2266,Passa ancora in mezzo a noi,4,3.5
2423,Dell'aurora Tu sorgi più bella (v2),4,3.33
2568,Il Signore in eterno ,4,3.5
1801,Tu vero pane della vita,4,3.5
362,Preghiera,4,3.33
2666,Cristo nostra pace,4,3.5
1896,Lode gloriosa,4,4.0
2775,TU SEI (La Prima stella del Mattino),4,3.8
2379,Spirito d'Amore  ,4,3.25
2413,Al tuo santo altar,4,3.25
2641,"Tuo è il regno, tua è la potenza",4,4.0
2239,Amore abbandonato,4,4.0
238,Il Signore mi guardi e mi benedica,4,4.0
335,Oggi ti chiamo,4,3.67
1473,Chi?,4,3.5
2340,Questo è il giorno,4,4.0
1717,"Un sol corpo, un sol spirito",4,3.5
2302,Il deserto fiorirà,4,3.33
2331,Atto di amore,4,4.0
2794,O Signore nostro Dio,4,4.0
1357,A Natale puoi,3,3.0
13,Alla mensa del Signore,3,3.0
1751,E' un tetto la mano di Dio,3,3.0
1797,"Signore, fa di me uno strumento",3,3.0
2644,La Tua dimora,3,3.0
2326,Tu sei qui,3,3.0
2093,Il giorno più bello (La mia prima comunione),3,3.0
2858,E' l’incontro della vita,3,3.0
2099,Sai fischiare?,3,3.0
2337,Gesù che sta passando,3,3.0
2595,Ora che sei in mezzo a noi,3,3.0
2370,Il Magnificat,3,3.0
379,Rendete grazie,3,3.0
2173,Luce di Dio,3,3.0
2210,Saluto alla Vergine,3,3.0
2124,Oggi è giorno di festa,3,3.0
1905,Solo in Dio riposa l'anima mia,3,3.0
2137,Cantiamo insieme al Signore,3,3.0
2245,E' la gioia che fa cantare,3,3.0
2111,Alleluia Gesù,3,3.0
2103,Un sogno che vola,3,3.0
319,Nelle mani della Creazione,3,3.0
2768,La mano nella tua,3,3.0
2621,Cristo vive in me,3,3.0
2096,Canoni - Dona la pace,3,3.0
240,In comunione,3,3.0
1913,Tornerà il Signor,3,3.0
2170,Tu vieni signore,3,3.0
499,Amare oltre,3,3.0
2077,Giullare dei campi,3,3.0
2414,Ave dolce Maria,3,3.0
2417,A te nostro Padre,3,3.0
2200,Canto di Madonna povertà,3,3.0
2189,Com'è bello (dar lode al Signor),3,3.0
2722,Dio ha tanto amato il mondo,3,3.0
2824,Quale Gioia V2,3,3.0
2275,Tu mi hai sedotto,3,3.0
254,Io sarò con Te,3,3.0
1382,Dio grande Dio,3,3.0
2163,Mi sentii pieno di gioia (Salmo 122),3,3.0
2164,Trasformaci in te,3,3.0
2338,Oggi ci hai chiamati,3,3.0
1763,Ho abbandonato,3,3.0
2767,Dite alla gente,3,3.0
2253,Venite applaudiamo al Signore,3,3.0
2680,Symbolum 80,3,3.0
2817,Hosanna ,3,3.0
2849,Il Signore è il mio pastore,3,3.0
1618,L'acqua della salvezza,3,3.0
2847,Servire è regnare,3,3.0
2143,E' un giorno di festa,3,3.0
1640,"Sei Tu, Signore",3,3.0
2081,Cristo è risorto è vivo!  È con noi!,3,3.0
1477,Sono il Pane di Vita,3,3.0
2110,Giù dai Colli,3,3.0
2455,Pane della vita,3,3.0
2284,Ecco il mio servo,3,3.0
2012,Ti offriamo Signore,3,3.0
2395,"O Signore, raccogli i tuoi figli",3,3.0
2655,Celebra il Re,3,3.0
2333,Umiliò se stresso,3,3.0
2390,Voglio stare accanto a Te,3,3.0
2791,La vera gioia (v.2),3,3.0
2665,Chi perde la sua vita per me,3,3.0
2812,Ave Maria gratia plena,3,3.0
1892,Signora della pace,3,3.0
2079,Regina dei cieli,3,3.0
2389,A fede 'e Maria,3,3.0
177,E pace intima,3,3.0
1663,Ti dono il mio cuore Gesù,3,3.0
2679,Prodigio d'amore,3,3.0
2199,Con Francesco profeti tra la gente,3,3.0
1548,Benedici,3,3.0
291,Lodi di Dio altissimo,3,3.0
169,E correremo insieme,3,3.0
2373,Io ho una gioia nel cuore ,3,3.0
2541,Lascia che il tuo fiume,3,3.0
2372,Non sei più tu che cerchi me,3,3.0
1741,Abbiamo trovato il Messia,3,3.0
2636,So che tu sei il mio Signor,3,3.0
1647,Stasera sono a mani vuote,3,3.0
